Date,DAL
2020-01-02,58.51190948486328
2020-01-03,57.54067611694336
2020-01-06,57.144248962402344
2020-01-07,57.094696044921875
2020-01-08,58.323604583740234
2020-01-09,58.43262481689453
2020-01-10,58.710121154785156
2020-01-13,58.957881927490234
2020-01-14,60.900352478027344
2020-01-15,61.06882858276367
2020-01-16,61.32650375366211
2020-01-17,61.47515869140625
2020-01-21,59.8002815246582
2020-01-22,59.10654067993164
2020-01-23,59.73090744018555
2020-01-24,58.28396224975586
2020-01-27,56.321678161621094
2020-01-28,56.965858459472656
2020-01-29,56.14328384399414
2020-01-30,56.58926010131836
2020-01-31,55.24142837524414
2020-02-03,55.53874206542969
2020-02-04,57.41183853149414
2020-02-05,58.36324691772461
2020-02-06,57.65959930419922
2020-02-07,57.40192413330078
2020-02-10,57.19380187988281
2020-02-11,58.13530349731445
2020-02-12,58.93806076049805
2020-02-13,58.601104736328125
2020-02-14,58.3731575012207
2020-02-18,58.19477081298828
2020-02-19,58.387359619140625
2020-02-20,58.25763702392578
2020-02-21,57.74870300292969
2020-02-24,54.1163330078125
2020-02-25,50.78333282470703
2020-02-26,49.486061096191406
2020-02-27,48.088993072509766
2020-02-28,46.0333137512207
2020-03-02,47.061153411865234
2020-03-03,46.08320617675781
2020-03-04,48.398345947265625
2020-03-05,44.91565704345703
2020-03-06,45.79381561279297
2020-03-09,43.42878341674805
2020-03-10,45.37469482421875
2020-03-11,42.580562591552734
2020-03-12,33.63934326171875
2020-03-13,38.279598236083984
2020-03-16,35.73494338989258
2020-03-17,31.673473358154297
2020-03-18,23.440765380859375
2020-03-19,21.464916229248047
2020-03-20,21.30525016784668
2020-03-23,22.173425674438477
2020-03-24,26.833637237548828
2020-03-25,31.034814834594727
2020-03-26,31.63355827331543
2020-03-27,29.488061904907227
2020-03-30,28.609907150268555
2020-03-31,28.47020149230957
2020-04-01,23.819969177246094
2020-04-02,22.632463455200195
2020-04-03,22.43288230895996
2020-04-06,22.273216247558594
2020-04-07,22.2033634185791
2020-04-08,23.18130874633789
2020-04-09,24.338878631591797
2020-04-13,23.20126724243164
2020-04-14,24.48856544494629
2020-04-15,24.29896354675293
2020-04-16,22.732254028320312
2020-04-17,24.219131469726562
2020-04-20,23.590450286865234
2020-04-21,23.05158233642578
2020-04-22,22.422903060913086
2020-04-23,22.43288230895996
2020-04-24,22.36302947998047
2020-04-27,22.11355209350586
2020-04-28,24.288984298706055
2020-04-29,27.262737274169922
2020-04-30,25.85569190979004
2020-05-01,24.06944465637207
2020-05-04,22.522693634033203
2020-05-05,21.66449546813965
2020-05-06,20.955984115600586
2020-05-07,21.634559631347656
2020-05-08,22.672378540039062
2020-05-11,21.9638671875
2020-05-12,20.98592185974121
2020-05-13,19.36931610107422
2020-05-14,19.339378356933594
2020-05-15,19.149778366088867
2020-05-18,21.81418228149414
2020-05-19,21.714391708374023
2020-05-20,22.672378540039062
2020-05-21,23.1114559173584
2020-05-22,22.64244270324707
2020-05-26,25.596237182617188
2020-05-27,26.264833450317383
2020-05-28,25.606216430664062
2020-05-29,25.15715980529785
2020-06-01,26.115148544311523
2020-06-02,26.354644775390625
2020-06-03,28.41032600402832
2020-06-04,32.3121337890625
2020-06-05,34.088401794433594
2020-06-08,36.892513275146484
2020-06-09,34.0983772277832
2020-06-10,31.57368278503418
2020-06-11,27.142990112304688
2020-06-12,30.36621856689453
2020-06-15,30.396154403686523
2020-06-16,31.234394073486328
2020-06-17,30.655611038208008
2020-06-18,30.725465774536133
2020-06-19,29.44814682006836
2020-06-22,29.248565673828125
2020-06-23,29.57787322998047
2020-06-24,27.282695770263672
2020-06-25,27.951292037963867
2020-06-26,26.853595733642578
2020-06-29,28.550033569335938
2020-06-30,27.991207122802734
2020-07-01,27.64194107055664
2020-07-02,27.661897659301758
2020-07-06,28.380390167236328
2020-07-07,26.953388214111328
2020-07-08,26.953388214111328
2020-07-09,25.596237182617188
2020-07-10,27.033220291137695
2020-07-13,26.763784408569336
2020-07-14,26.055274963378906
2020-07-15,28.540054321289062
2020-07-16,27.202863693237305
2020-07-17,26.993303298950195
2020-07-20,26.165042877197266
2020-07-21,26.374603271484375
2020-07-22,26.19498062133789
2020-07-23,26.72386932373047
2020-07-24,25.90558624267578
2020-07-27,25.446552276611328
2020-07-28,25.885629653930664
2020-07-29,25.66609001159668
2020-07-30,24.887725830078125
2020-07-31,24.917661666870117
2020-08-03,25.14718246459961
2020-08-04,25.616195678710938
2020-08-05,26.414518356323242
2020-08-06,27.02324104309082
2020-08-07,27.123031616210938
2020-08-10,29.27850341796875
2020-08-11,29.57787322998047
2020-08-12,29.029027938842773
2020-08-13,28.63984489440918
2020-08-14,28.88932228088379
2020-08-17,27.961271286010742
2020-08-18,27.572086334228516
2020-08-19,27.612003326416016
2020-08-20,27.562108993530273
2020-08-21,27.21284294128418
2020-08-24,29.737539291381836
2020-08-25,30.036911010742188
2020-08-26,29.887226104736328
2020-08-27,30.755401611328125
2020-08-28,31.922948837280273
2020-08-31,30.78533935546875
2020-09-01,30.645631790161133
2020-09-02,31.074729919433594
2020-09-03,31.15456199645996
2020-09-04,31.703411102294922
2020-09-08,32.471797943115234
2020-09-09,31.693431854248047
2020-09-10,31.723369598388672
2020-09-11,31.63355827331543
2020-09-14,32.7512092590332
2020-09-15,33.439762115478516
2020-09-16,34.49753952026367
2020-09-17,33.88882064819336
2020-09-18,32.77116775512695
2020-09-21,29.757497787475586
2020-09-22,30.156658172607422
2020-09-23,29.4980411529541
2020-09-24,28.949195861816406
2020-09-25,29.71758270263672
